Address_Hex,Address_Dec,Name,Active,Status
0x0500,1280,ÜG TA1,True,ACTIVE
0x0501,1281,ÜG TA2,True,ACTIVE
0x0502,1282,ÜG TA3,True,ACTIVE
0x0503,1283,ÜG TA4,True,ACTIVE
0x0504,1284,ÜG TA5,True,ACTIVE
0x0505,1285,ÜG TA6,True,ACTIVE
0x0506,1286,ÜG TA7,True,ACTIVE
0x0507,1287,ÜG TA8,True,ACTIVE
0x0508,1288,Relais 1,False,Inactive
0x0509,1289,Relais 2,False,Inactive
0x050A,1290,Relais 3,False,Inactive
0x050B,1291,OSG (Optischer Signalgeber),False,Inactive
0x050C,1292,ASG1 (Akustischer Signalgeber 1),False,Inactive
0x050D,1293,ASG2 (Akustischer Signalgeber 2),False,Inactive
0x050E,1294,Ausgang 0x050E,False,Inactive
0x050F,1295,Ausgang 0x050F,False,Inactive
0x0510,1296,Ausgang 0x0510,False,Inactive
0x0511,1297,Ausgang 0x0511,False,Inactive
0x0512,1298,Ausgang 0x0512,False,Inactive
0x0513,1299,Ausgang 0x0513,False,Inactive
0x0514,1300,Ausgang 0x0514,False,Inactive
0x0515,1301,Ausgang 0x0515,False,Inactive
0x0516,1302,Ausgang 0x0516,False,Inactive
0x0517,1303,Ausgang 0x0517,False,Inactive
0x0518,1304,Ausgang 0x0518,False,Inactive
0x0519,1305,Ausgang 0x0519,False,Inactive
0x051A,1306,Ausgang 0x051A,False,Inactive
0x051B,1307,Ausgang 0x051B,False,Inactive
0x051C,1308,Ausgang 0x051C,False,Inactive
0x051D,1309,Ausgang 0x051D,False,Inactive
0x051E,1310,Ausgang 0x051E,False,Inactive
0x051F,1311,Ausgang 0x051F,False,Inactive
0x0520,1312,Ausgang 0x0520,False,Inactive
0x0521,1313,Ausgang 0x0521,False,Inactive
0x0522,1314,Ausgang 0x0522,False,Inactive
0x0523,1315,Ausgang 0x0523,False,Inactive
0x0524,1316,Ausgang 0x0524,False,Inactive
0x0525,1317,Ausgang 0x0525,False,Inactive
0x0526,1318,Ausgang 0x0526,False,Inactive
0x0527,1319,Ausgang 0x0527,False,Inactive
0x0528,1320,Ausgang 0x0528,False,Inactive
0x0529,1321,Ausgang 0x0529,False,Inactive
0x052A,1322,Ausgang 0x052A,False,Inactive
0x052B,1323,Ausgang 0x052B,False,Inactive
0x052C,1324,Ausgang 0x052C,False,Inactive
0x052D,1325,Ausgang 0x052D,False,Inactive
0x052E,1326,Ausgang 0x052E,False,Inactive
0x052F,1327,Ausgang 0x052F,False,Inactive
0x0570,1392,Ausgang 0x0570,False,Inactive
0x0571,1393,Ausgang 0x0571,False,Inactive
0x0572,1394,Ausgang 0x0572,False,Inactive
